dataset,kind,severity,seed,config,err_pitch,paste2_err,beats_paste2,n,pitch,seconds,status,timestamp,detail
Br8100,dlpfc,6.0,0,gated_rigid_thr3,3.6023,3.6257,True,3502,137.0,,ok,2026-07-17T10:44:38Z,
Br8100,dlpfc,6.0,0,gated_rigid_thr6,3.8137,3.6257,False,3502,137.0,,ok,2026-07-17T10:44:38Z,
Br8100,dlpfc,6.0,0,gated_rigid_thr8,5.7043,3.6257,False,3502,137.0,,ok,2026-07-17T10:44:38Z,
Br8100,dlpfc,6.0,0,selfsup_clean,12.8572,3.6257,False,3502,137.0,,ok,2026-07-17T10:44:38Z,
Br8100,dlpfc,6.0,0,selfsup_leak,1.6428,3.6257,True,3502,137.0,,ok,2026-07-17T10:44:38Z,
Br8100,dlpfc,6.0,0,combo_gated_selfsup,7.1315,3.6257,False,3502,137.0,,ok,2026-07-17T10:44:38Z,
Br8100,dlpfc,8.0,0,paste2,4.0333,4.0333,True,3502,137.0,,ok,2026-07-17T10:46:52Z,
Br8100,dlpfc,8.0,0,gated_rigid,4.0029,4.0333,True,3502,137.0,,ok,2026-07-17T10:46:52Z,
Br8100,dlpfc,8.0,0,gated_rigid_cv,4.0025,4.0333,True,3502,137.0,,ok,2026-07-17T10:46:52Z,
Br8100,dlpfc,8.0,0,gated_affine,3.8257,4.0333,True,3502,137.0,,ok,2026-07-17T10:46:52Z,
Br8100,dlpfc,8.0,0,gated_quad,3.7906,4.0333,True,3502,137.0,,ok,2026-07-17T10:46:52Z,
Br8100,dlpfc,8.0,0,gated_rigid_thr2,4.0254,4.0333,True,3502,137.0,,ok,2026-07-17T10:46:52Z,
Br8100,dlpfc,8.0,0,gated_rigid_thr3,4.0235,4.0333,True,3502,137.0,,ok,2026-07-17T10:46:52Z,
Br8100,dlpfc,8.0,0,gated_rigid_thr6,3.9576,4.0333,True,3502,137.0,,ok,2026-07-17T10:46:52Z,
Br8100,dlpfc,8.0,0,gated_rigid_thr8,4.8656,4.0333,False,3502,137.0,,ok,2026-07-17T10:46:52Z,
Br8100,dlpfc,8.0,0,selfsup_clean,12.8502,4.0333,False,3502,137.0,,ok,2026-07-17T10:46:52Z,
Br8100,dlpfc,8.0,0,selfsup_leak,1.7468,4.0333,True,3502,137.0,,ok,2026-07-17T10:46:52Z,
Br8100,dlpfc,8.0,0,combo_gated_selfsup,7.1613,4.0333,False,3502,137.0,,ok,2026-07-17T10:46:52Z,
Br5292,dlpfc,0.0,0,paste2,4.8629,4.8629,True,4182,137.0,,ok,2026-07-17T10:56:26Z,
Br5292,dlpfc,0.0,0,gated_rigid,3.178,4.8629,True,4182,137.0,,ok,2026-07-17T10:56:26Z,
Br5292,dlpfc,0.0,0,gated_rigid_cv,3.1873,4.8629,True,4182,137.0,,ok,2026-07-17T10:56:26Z,
Br5292,dlpfc,0.0,0,gated_affine,3.1722,4.8629,True,4182,137.0,,ok,2026-07-17T10:56:26Z,
Br5292,dlpfc,0.0,0,gated_quad,3.1391,4.8629,True,4182,137.0,,ok,2026-07-17T10:56:26Z,
Br5292,dlpfc,0.0,0,gated_rigid_thr2,4.6098,4.8629,True,4182,137.0,,ok,2026-07-17T10:56:26Z,
Br5292,dlpfc,0.0,0,gated_rigid_thr3,4.2507,4.8629,True,4182,137.0,,ok,2026-07-17T10:56:26Z,
Br5292,dlpfc,0.0,0,gated_rigid_thr6,2.1379,4.8629,True,4182,137.0,,ok,2026-07-17T10:56:26Z,
Br5292,dlpfc,0.0,0,gated_rigid_thr8,1.8254,4.8629,True,4182,137.0,,ok,2026-07-17T10:56:26Z,
