experiment,method,chain_len,severity,seed,edge_band,gate,metric,value,runtime_s,n_edges,note
controlled,global_adj,2,3,0,1,,terminal_err,66.07285153801033,8.55999969644472e-05,1,
controlled,global_band,2,3,0,1,,terminal_err,66.07285153801033,5.630000669043511e-05,1,
controlled,global_full,2,3,0,1,,terminal_err,66.07285153801033,5.099999543745071e-05,1,
controlled,pairwise_chain,2,3,0,1,,mean_err,33.03642576900406,3.7999998312443495e-06,1,
controlled,global_band,2,3,0,1,,mean_err,33.03642576900516,5.630000669043511e-05,1,
controlled,global_full,2,3,0,1,,mean_err,33.03642576900516,5.099999543745071e-05,1,
controlled,pairwise_chain,2,3,1,1,,terminal_err,187.72460285062056,3.9000005926936865e-06,1,
controlled,global_adj,2,3,1,1,,terminal_err,187.7246028506204,7.940000796224922e-05,1,
controlled,global_band,2,3,1,1,,terminal_err,187.7246028506204,5.990000499878079e-05,1,
controlled,global_full,2,3,1,1,,terminal_err,187.7246028506204,5.339999916031957e-05,1,
controlled,pairwise_chain,2,3,1,1,,mean_err,93.86230142531028,3.9000005926936865e-06,1,
controlled,global_band,2,3,1,1,,mean_err,93.8623014253102,5.990000499878079e-05,1,
controlled,global_full,2,3,1,1,,mean_err,93.8623014253102,5.339999916031957e-05,1,
controlled,pairwise_chain,2,3,2,1,,terminal_err,110.5464109477281,3.7999998312443495e-06,1,
controlled,global_adj,2,3,2,1,,terminal_err,110.54641094772805,8.100000559352338e-05,1,
controlled,global_band,2,3,2,1,,terminal_err,110.54641094772805,6.390000635292381e-05,1,
controlled,global_full,2,3,2,1,,terminal_err,110.54641094772805,5.869999586138874e-05,1,
controlled,pairwise_chain,2,3,2,1,,mean_err,55.27320547386405,3.7999998312443495e-06,1,
controlled,global_band,2,3,2,1,,mean_err,55.273205473864024,6.390000635292381e-05,1,
controlled,global_full,2,3,2,1,,mean_err,55.273205473864024,5.869999586138874e-05,1,
controlled,pairwise_chain,2,3,3,1,,terminal_err,106.88920216521565,3.3999967854470015e-06,1,
controlled,global_adj,2,3,3,1,,terminal_err,106.88920216521562,7.539999205619097e-05,1,
controlled,global_band,2,3,3,1,,terminal_err,106.88920216521562,5.669999518431723e-05,1,
controlled,global_full,2,3,3,1,,terminal_err,106.88920216521562,5.280000914353877e-05,1,
controlled,pairwise_chain,2,3,3,1,,mean_err,53.444601082607825,3.3999967854470015e-06,1,
controlled,global_band,2,3,3,1,,mean_err,53.44460108260781,5.669999518431723e-05,1,
controlled,global_full,2,3,3,1,,mean_err,53.44460108260781,5.280000914353877e-05,1,
controlled,pairwise_chain,2,3,4,1,,terminal_err,77.26663310075112,3.7999998312443495e-06,1,
controlled,global_adj,2,3,4,1,,terminal_err,77.26663310075156,8.22000001790002e-05,1,
controlled,global_band,2,3,4,1,,terminal_err,77.26663310075156,5.5199998314492404e-05,1,
controlled,global_full,2,3,4,1,,terminal_err,77.26663310075156,5.129999772179872e-05,1,
controlled,pairwise_chain,2,3,4,1,,mean_err,38.63331655037556,3.7999998312443495e-06,1,
controlled,global_band,2,3,4,1,,mean_err,38.63331655037578,5.5199998314492404e-05,1,
controlled,global_full,2,3,4,1,,mean_err,38.63331655037578,5.129999772179872e-05,1,
controlled,pairwise_chain,4,3,0,1,,terminal_err,194.70972611028495,4.0000013541430235e-06,3,
controlled,global_adj,4,3,0,1,,terminal_err,194.70972611028407,0.0001309000072069466,3,
controlled,global_band,4,3,0,3,,terminal_err,56.90580921864151,0.0001942999952007085,6,
controlled,global_full,4,3,0,3,,terminal_err,56.90580921864151,0.00019019999308511615,6,
controlled,pairwise_chain,4,3,0,1,,mean_err,112.2971059950195,4.0000013541430235e-06,3,
controlled,global_band,4,3,0,3,,mean_err,52.99043476287812,0.0001942999952007085,6,
controlled,global_full,4,3,0,3,,mean_err,52.99043476287812,0.00019019999308511615,6,
controlled,pairwise_chain,4,3,1,1,,terminal_err,84.78127661674952,4.9000082071870565e-06,3,
controlled,global_adj,4,3,1,1,,terminal_err,84.78127661675005,0.00012549999519251287,3,
controlled,global_band,4,3,1,3,,terminal_err,60.383692611817395,0.00019880000036209822,6,
controlled,global_full,4,3,1,3,,terminal_err,60.383692611817395,0.00017529999604448676,6,
controlled,pairwise_chain,4,3,1,1,,mean_err,59.183922823622716,4.9000082071870565e-06,3,
controlled,global_band,4,3,1,3,,mean_err,38.72492826790014,0.00019880000036209822,6,
controlled,global_full,4,3,1,3,,mean_err,38.72492826790014,0.00017529999604448676,6,
controlled,pairwise_chain,4,3,2,1,,terminal_err,100.21493557490871,6.600006599910557e-06,3,
controlled,global_adj,4,3,2,1,,terminal_err,100.21493557490835,0.00017970000044442713,3,
controlled,global_band,4,3,2,3,,terminal_err,22.08066873841643,0.00024899998970795423,6,
controlled,global_full,4,3,2,3,,terminal_err,22.08066873841643,0.00022649999300483614,6,
controlled,pairwise_chain,4,3,2,1,,mean_err,60.32801192423232,6.600006599910557e-06,3,
controlled,global_band,4,3,2,3,,mean_err,36.82728421680534,0.00024899998970795423,6,
controlled,global_full,4,3,2,3,,mean_err,36.82728421680534,0.00022649999300483614,6,
controlled,pairwise_chain,4,3,3,1,,terminal_err,83.59110020950241,4.799992893822491e-06,3,
controlled,global_adj,4,3,3,1,,terminal_err,83.59110020949848,0.00012740000966005027,3,
controlled,global_band,4,3,3,3,,terminal_err,50.963379927194495,0.00019809999503195286,6,
controlled,global_full,4,3,3,3,,terminal_err,50.963379927194495,0.00018139999883715063,6,
controlled,pairwise_chain,4,3,3,1,,mean_err,60.45108130553723,4.799992893822491e-06,3,
controlled,global_band,4,3,3,3,,mean_err,37.04586695171652,0.00019809999503195286,6,
controlled,global_full,4,3,3,3,,mean_err,37.04586695171652,0.00018139999883715063,6,
controlled,pairwise_chain,4,3,4,1,,terminal_err,257.61134480367116,4.0000013541430235e-06,3,
controlled,global_adj,4,3,4,1,,terminal_err,257.6113448036722,0.0001866000093286857,3,
controlled,global_band,4,3,4,3,,terminal_err,114.0312747076289,0.00023200000578071922,6,
controlled,global_full,4,3,4,3,,terminal_err,114.0312747076289,0.00022230000467970967,6,
controlled,pairwise_chain,4,3,4,1,,mean_err,141.3734327162643,4.0000013541430235e-06,3,
controlled,global_band,4,3,4,3,,mean_err,66.22018800381427,0.00023200000578071922,6,
controlled,global_full,4,3,4,3,,mean_err,66.22018800381427,0.00022230000467970967,6,
controlled,pairwise_chain,8,3,0,1,,terminal_err,417.39300897903325,5.89998671784997e-06,7,
controlled,global_adj,8,3,0,1,,terminal_err,417.39300897903377,0.00024480000138282776,7,
controlled,global_band,8,3,0,3,,terminal_err,79.63368969766618,0.0004726999904960394,18,
controlled,global_full,8,3,0,7,,terminal_err,28.24624835423905,0.0007987999997567385,28,
controlled,pairwise_chain,8,3,0,1,,mean_err,262.6312405752194,5.89998671784997e-06,7,
controlled,global_band,8,3,0,3,,mean_err,107.23935728264794,0.0004726999904960394,18,
controlled,global_full,8,3,0,7,,mean_err,47.25112212474657,0.0007987999997567385,28,
controlled,pairwise_chain,8,3,1,1,,terminal_err,197.90128045346336,9.2999980552122e-06,7,
