dataset,tissue,kind,mode,severity,method,seed,median_error,median_error_pitch,mean_error,p90_error,pitch_px,n_scored,runtime_s
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,3.0,sutura,0,2032.68,14.837,2140.3,3501.66,137.0,2951,0.07
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,4.0,sutura,0,2036.49,14.865,2140.22,3501.71,137.0,2951,0.06
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,6.0,sutura,0,2053.49,14.989,2151.46,3503.91,137.0,2951,0.07
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,8.0,sutura,0,2053.42,14.988,2171.75,3502.06,137.0,2951,0.07
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,0.0,sutura,1,2028.45,14.806,2144.69,3503.84,137.0,2951,0.07
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,1.0,sutura,1,2028.42,14.806,2144.01,3494.17,137.0,2951,0.08
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,2.0,sutura,1,2027.54,14.8,2143.23,3492.78,137.0,2951,0.08
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,3.0,sutura,1,2034.58,14.851,2142.93,3492.59,137.0,2951,0.07
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,4.0,sutura,1,2032.72,14.837,2142.24,3496.52,137.0,2951,0.07
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,6.0,sutura,1,2035.01,14.854,2144.05,3500.17,137.0,2951,0.08
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,8.0,sutura,1,2033.32,14.842,2145.57,3495.79,137.0,2951,0.07
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,0.0,sutura,2,2017.86,14.729,2138.32,3495.07,137.0,2951,0.09
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,1.0,sutura,2,2017.02,14.723,2138.1,3491.72,137.0,2951,0.09
MouseBrain_SagPost,mouse brain (sagittal),"cross-species, neural",cross,2.0,sutura,2,2014.4,14.704,2138.28,3494.22,137.0,2951,0.09
